scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,39.056911,-77.037044
Trachemys scripta scripta,39.056612,-77.037319
Trachemys scripta scripta,39.056509,-77.037431
Trachemys scripta scripta,39.056114,-77.037894
Trachemys scripta scripta,39.054348,-77.038301
Trachemys scripta scripta,39.054332,-77.038515
Trachemys scripta scripta,39.054332,-77.038554
Trachemys scripta scripta,39.054298,-77.038569
Trachemys scripta scripta,39.054282,-77.038547
Trachemys scripta scripta,39.054282,-77.038558
Trachemys scripta scripta,39.054282,-77.038558
Trachemys scripta scripta,39.054248,-77.038601
Trachemys scripta scripta,39.054215,-77.038429
Trachemys scripta scripta,39.054082,-77.03807
Trachemys scripta scripta,39.054061,-77.038054
Trachemys scripta scripta,39.053991,-77.038205
Trachemys scripta scripta,39.053949,-77.03813
Trachemys scripta scripta,39.053948,-77.038397
Trachemys scripta scripta,39.053914,-77.038393
Trachemys scripta scripta,39.05389,-77.038145
Trachemys scripta scripta,39.053808,-77.03828
Trachemys scripta scripta,39.05281,-77.039335
Trachemys scripta scripta,39.039091,-77.032552
Trachemys scripta scripta,39.039072,-77.03252
Trachemys scripta scripta,39.039029,-77.032566
Trachemys scripta scripta,39.039014,-77.032622
Trachemys scripta scripta,39.038977,-77.032612
Trachemys scripta scripta,39.038974,-77.032225
Trachemys scripta scripta,39.038962,-77.032627
Trachemys scripta scripta,39.038891,-77.032381
Trachemys scripta scripta,39.038823,-77.032494
Trachemys scripta scripta,39.038768,-77.0323
Trachemys scripta scripta,39.038733,-77.032129
Trachemys scripta scripta,39.038666,-77.033073
Trachemys scripta scripta,39.038619,-77.032544
Trachemys scripta scripta,39.03861,-77.03255
Trachemys scripta scripta,39.038529,-77.033156
Trachemys scripta scripta,39.038456,-77.033148
Trachemys scripta scripta,39.03845,-77.032716
Trachemys scripta scripta,39.038362,-77.033099
Trachemys scripta scripta,39.038356,-77.0327
Trachemys scripta scripta,39.038343,-77.032772
Trachemys scripta scripta,39.038339,-77.032724
Trachemys scripta scripta,39.032707,-77.062042
Trachemys scripta scripta,39.032704,-77.06202
Trachemys scripta scripta,39.032703,-77.062062
Trachemys scripta scripta,39.0327,-77.062076
Trachemys scripta scripta,39.032698,-77.062092
Trachemys scripta scripta,39.032697,-77.062061
Trachemys scripta scripta,39.032695,-77.062086
Trachemys scripta scripta,39.032693,-77.062085
Trachemys scripta scripta,39.032693,-77.062096
Trachemys scripta scripta,39.032647,-77.062021
Trachemys scripta scripta,39.032643,-77.062048
Trachemys scripta scripta,39.032613,-77.062031
Trachemys scripta scripta,39.032609,-77.061999
Trachemys scripta scripta,39.032606,-77.062068
Trachemys scripta scripta,39.032597,-77.06208
